max,mean,min,cross_improvec,cross_worsenc,unique
1,2966793766685723196391424.000,59335876235675123580928.000,34.605,25.967,18.900,6.333
2,528384589035388734667751424.000,10575417464177886186438656.000,34.402,19.533,24.333,7.967
3,2388711175728484183940530176.000,47774223514570013875896320.000,33.291,17.167,26.967,9.067
4,120883991455438288.000,2417679836595648.000,33.329,16.067,28.100,10.367
5,1300108542041917936915225509888.000,26002170840838356803164045312.000,32.398,16.167,28.100,12.500
6,128402093063698791792640.000,2571122713668904026112.000,32.671,13.867,29.833,14.667
7,2837129119941269.000,56742604318710.305,31.918,13.400,31.267,15.767
8,112922577901.957,2258490549.130,32.015,14.833,29.967,18.433
9,23705474505883993447507951616.000,474109490117679860703821824.000,32.403,15.333,28.900,20.300
10,1674760491557688112721166336.000,33495209831153756585066496.000,31.293,14.200,30.300,21.767
11,341463682698078942870271688704.000,6829273653961577669932875776.000,31.218,14.667,29.667,22.800
12,1989730131778538154491904.000,39794602635570765103104.000,31.215,14.133,29.900,24.033
13,12274260620384.721,245485218533.237,30.905,13.667,30.967,23.167
14,3248927184748758958080.000,64978543694975328256.000,30.534,13.233,31.600,23.433
15,12604927381727466225664.000,252098547634549325824.000,30.854,13.267,30.733,23.467
16,520350120.300,10525897.638,30.141,13.400,31.133,23.733
17,4776156966.730,95539685.743,30.176,13.300,30.667,24.100
18,3107518577085576917423948300288.000,62150371541711549607478034432.000,29.705,12.833,30.600,24.167
19,9474951388194760818688.000,189499027763895173120.000,29.439,13.733,30.600,23.267
20,23590210920.572,471807769.700,29.396,12.500,30.667,23.733
21,8246867662283.762,164937364234.077,28.735,13.267,31.200,22.900
22,542421928967847168.000,10848438579363132.000,28.411,12.867,30.967,23.733
23,63092228382549696512.000,1261844567651000576.000,28.164,13.367,30.100,23.567
24,7496079961368148725202944.000,149921599227362996649984.000,27.981,13.033,31.533,22.933
25,2118815731216728.750,42376315744404.297,28.042,12.600,30.867,23.333
26,38686173104659960.000,773741731190330.250,27.462,13.067,30.800,23.200
27,25265412645159002112.000,505308252916280320.000,26.918,13.633,29.767,24.100
28,582119185302974365696.000,11642383706059976704.000,26.776,13.967,30.467,22.000
29,2810054320157257.000,56201089383752.000,26.431,13.467,30.000,21.933
30,422439955783308.062,8448799117915.737,26.858,13.633,29.867,21.067
31,220923770793541248.000,4418475448600380.500,25.887,13.733,29.067,22.100
32,69729126188435931136.000,1394582523790448384.000,26.234,12.533,31.200,22.133
33,98866833259291.234,1977344221777.237,26.036,12.733,30.867,22.100
34,18991315489935.270,379826310156.973,26.158,12.900,30.100,22.400
35,8485778983351993624272113238016.000,169715579667039845745319477248.000,26.104,12.033,30.733,21.767
36,2305651421.830,46232277.934,25.709,13.000,30.533,21.767
37,78378964917983215616.000,1567579298359697152.000,25.595,13.967,29.500,22.200
38,958464630358150469386240.000,19169292607535454355456.000,25.685,13.400,29.833,22.367
39,73199470556808624.000,1463989412463670.250,25.596,13.200,29.833,22.400
40,157181066324402.344,3143621343129.034,25.645,13.200,30.367,21.700
41,4786775332355729.000,95735506688946.938,25.688,12.233,31.233,21.867
42,350837194261370944.000,7016743885228891.000,25.434,13.133,29.933,22.967
43,116802228111522.844,2336044801616.936,25.408,13.733,29.733,23.300
44,552103163040051.750,11042063312572.434,25.198,12.500,29.867,24.133
45,7661881188.656,153562465.600,25.185,12.900,30.967,23.167
46,116172466345988850673854185472.000,2323449326919777079447781376.000,25.141,12.700,31.133,23.400
47,474199616469851176960.000,9483992329397082112.000,25.135,12.833,31.167,23.733
48,1366928710374.700,27338677123.638,25.239,12.200,30.667,22.733
49,239263643481187.812,4785272871030.066,25.241,12.033,30.733,23.533
50,203595312910062685779918848.000,4071906258201253672648704.000,25.297,11.533,31.500,23.067
