max,mean,min,cross_improvec,cross_worsenc,unique
86,5142238871499465293824.000,51422388714994663424.000,17.059,23.600,60.367,29.200
87,171587008618739.406,1715870151630.136,17.056,23.500,59.100,30.667
88,82502343672243136.000,825023438563210.625,17.021,22.800,58.533,31.167
89,1291569163009491102785075150848.000,12915691630094910500085170176.000,16.997,24.267,57.367,29.633
90,297332326143455906380163642348797952.000,2973323261434558464282454027927552.000,17.007,21.633,60.967,28.767
91,586727704198.171,5867277346.877,16.974,22.467,59.200,28.667
92,91729936399067283456.000,917299363990691456.000,16.974,23.533,58.033,29.400
93,7254253705780890624.000,72542537057810592.000,16.937,22.867,59.333,29.000
94,9973329851811487744.000,99733298519940400.000,16.931,22.867,59.033,29.533
95,829524787818639744.000,8295247878583269.000,16.908,24.300,58.700,28.967
96,912169214278432.000,9121757267005.262,16.787,22.800,58.567,28.500
97,5795643467478142976.000,57956434705027928.000,16.800,22.867,57.933,29.500
98,21496960620596.773,214969606935.692,16.781,23.500,58.333,28.733
99,13038838490165709635584.000,130397446895015395328.000,16.749,21.700,59.633,28.367
100,1604219659772360.000,16042201935183.480,16.738,22.300,59.633,27.400
