max,mean,min,cross_improvec,cross_worsenc,unique
1,4596686933858766229321285632.000,45966897609334548452081664.000,29.932,45.000,44.400,27.050
2,892464380116011477756805120.000,8924643801571284022722560.000,29.007,38.600,49.500,27.300
3,178879279692701204480.000,1788895523506563584.000,28.364,39.850,48.900,25.050
4,269827203977743958016.000,2698272916566456320.000,28.167,39.250,49.300,21.900
5,1365752364107902008426496.000,13657523641080642273280.000,27.226,37.800,51.950,19.650
6,3405546792171293184.000,34055467922214796.000,26.524,38.700,49.800,19.150
7,31583205663434778493396713472.000,315832056634347817919315968.000,26.909,37.550,50.400,18.700
8,3179117749246966.500,31791333937473.695,26.221,39.650,48.100,19.700
9,97489878089255190528.000,974900360433867776.000,26.265,39.150,50.150,15.650
10,1894277025267824640.000,18945834576271552.000,26.102,37.650,50.300,16.700
11,662853776051097728.000,6628552911458498.000,26.605,37.750,49.300,16.400
12,3385911055175018610688.000,33859110552238514176.000,25.945,38.500,49.150,16.450
13,161867271125663830945975762944.000,1618672711256638375430455296.000,24.810,39.100,47.400,16.800
14,244492363924477600.000,2444924902382797.000,24.582,37.200,49.600,16.350
15,36727539839460648.000,378100815043501.500,24.417,39.450,47.200,15.750
16,57485717013665000.000,574874661309393.000,23.964,36.700,50.850,14.000
17,24254874223128812085037853652123910144.000,242548742231288123801857588314767360.000,23.592,38.050,48.400,14.500
18,1649740692173326729235922944.000,16497406921733268838547456.000,23.506,37.650,49.200,14.150
19,266251264644162.312,2663128709440.919,23.268,35.950,48.850,15.200
20,3966805769593341.000,39670998799996.773,23.081,36.950,49.750,14.000
21,985357537206828034686976.000,9853575372070490996736.000,23.076,38.400,48.100,13.800
22,10083044988656947200.000,100830449886575648.000,22.730,36.550,48.350,15.050
23,1139665977307.153,11396804654.057,22.359,37.200,47.500,15.000
24,3202023358422.311,32021724340.282,22.109,35.650,48.800,15.750
25,700144853590369536.000,7001448536106159.000,22.424,36.200,49.500,14.350
26,3365013125734.971,33650153282.634,21.941,36.150,49.100,14.700
27,745020895286264.625,7486858792510.575,21.900,34.350,49.000,16.150
28,2807300813018622976.000,28081893507213804.000,22.258,36.950,47.900,14.350
29,345182905643859831550902272.000,3451829056438856249769984.000,21.996,37.300,47.450,13.700
30,703827954433369342285447168.000,11245320205547725735854080.000,21.559,35.100,49.200,14.550
31,1476079684441743746324758528.000,19794092192649866467344384.000,21.510,35.400,47.750,15.600
32,4478636337665259808111984640.000,45881999903712982270476288.000,21.440,35.750,47.550,13.650
33,337817852562062348929466368.000,3378178525620630125019136.000,21.684,34.500,48.750,15.000
34,1695266065554707200.000,16952665967783978.000,21.581,36.050,47.650,13.250
35,89305804851.550,1450319174.860,21.340,34.450,47.850,15.500
36,16553701691541372.000,165537017003769.438,21.232,37.000,45.800,14.950
37,1195809515083.405,11958111164.209,21.257,36.350,45.250,15.500
38,6864401.540,74296.494,21.427,36.300,46.750,14.400
39,4984148232.075,49845412.405,21.396,35.200,46.900,15.050
40,108257191935336759296.000,1082571919353371392.000,20.719,38.050,44.050,15.400
41,168399307984.380,1693164667.749,20.799,34.000,48.850,15.050
42,50365977313.476,503705421.442,21.004,35.450,46.900,14.750
43,51536895029536.852,515372403782.927,21.324,32.950,49.650,15.600
44,560420499300302083588096.000,5604204993003020877824.000,20.900,34.550,48.650,13.400
45,133004351.638,1347281.487,20.922,34.650,46.000,15.300
46,3031999277582886895616.000,30319992775838662656.000,20.895,34.150,48.700,14.800
47,3604918003439618228224.000,36049180034397011968.000,21.462,33.500,48.150,16.350
48,50919813630565.672,509203030677.333,21.199,33.850,48.450,14.100
49,325992700542513502486528.000,3259927005425134731264.000,21.473,34.650,48.200,13.150
50,2833553020.159,28336740.356,21.118,35.800,46.900,14.350
51,127781604544.261,1277817578.513,20.607,33.300,48.400,15.700
52,16649191982.314,171147740.498,20.410,33.450,48.500,15.400
53,153223364506294.062,1532234747017.426,20.735,36.250,45.600,15.700
54,2901710925354721.000,29017109259947.418,20.370,35.150,47.050,13.950
55,17570821789394932.000,175708217896874.812,20.072,33.650,48.800,13.700
56,66245555024799.312,662455552473.079,20.709,34.000,49.200,13.400
57,314735223345821.062,3974519717100.318,21.016,34.450,47.700,13.850
58,65729127961387.977,1042773452705.434,20.488,33.350,46.600,14.450
59,65728689831471.414,1971856334185.771,20.528,32.900,46.150,15.250
60,69177375748252.086,3978197195282.668,20.429,32.200,49.450,15.050
61,160069044347399.188,3606864233523.518,20.511,32.950,48.300,14.350
62,156841180183343776.000,1569069086505562.250,20.108,31.700,48.400,14.600
63,13746959775083204.000,138200876831878.344,20.426,33.750,46.350,16.550
64,2610242106776126406346032545792.000,26102421069285774406728024064.000,20.153,33.350,47.300,13.900
65,2252490534481455962064966123520.000,22524905344814560500258963456.000,20.320,31.150,48.200,13.850
66,390287582708396611556595466240.000,3902875827083966225517117440.000,20.253,30.200,48.200,14.150
67,102916429534408.656,1029166886777.089,19.805,31.250,46.600,16.400
68,686292091813517.500,6862921131789.848,19.910,30.750,47.600,14.850
69,613169575913451776.000,6131695759191394.000,20.622,32.800,46.750,14.650
70,1868319298.411,19001289.693,20.485,33.000,46.750,14.450
71,150159098600.746,1501962143.576,20.477,31.850,47.550,15.750
