max,mean,min,cross_improvec,cross_worsenc,unique
1,3870475920181332499178192896.000,38704759236119815386038272.000,32.459,33.333,24.633,43.633
2,7120216334290099301153899544576.000,71202167079308468080517054464.000,31.605,26.733,32.367,42.833
3,13858725157251230132600832.000,138587282448738347384832.000,30.261,25.233,35.533,42.033
4,23254102982538527780325837594689536.000,232541029825385259068283926085632.000,30.118,22.167,35.800,45.267
5,42572862097393797340069888.000,425728621024031054757888.000,29.321,19.967,39.267,45.667
6,199876366714314224822124544.000,1998763671806987309416448.000,29.113,19.433,38.800,47.300
7,537002169905473671659520.000,5370021700527027388416.000,28.913,17.367,40.900,48.267
8,991205674361492398298628096.000,9912056744659881966960640.000,28.345,19.200,40.333,47.700
9,342405169592888184197973488435200.000,3424051695930884817914007912448.000,27.942,19.033,40.800,47.033
10,631969065307773589694447616.000,6320984839130261040922624.000,28.069,17.233,41.333,48.900
11,7227145510887015223098605568.000,72271457926606939899297792.000,27.890,16.933,42.133,48.033
12,180480396674730817117749248.000,1804803966802039723261952.000,27.259,17.267,41.100,50.200
13,7949180648931663889174939006073307136.000,79491806489316639629619153009115136.000,26.847,18.167,38.933,50.067
14,1554477335083174027484820460982501376.000,15544773350878641398356772250451968.000,26.285,16.267,41.467,49.600
15,1748708820033570114340848140288.000,17487088200338244445744922624.000,26.371,17.500,39.933,48.267
16,13307596976991827931430912.000,133075969874608386998272.000,25.961,17.067,41.400,47.867
17,2211731184852594883397943296.000,22117311848649374339956736.000,25.281,18.700,39.967,48.367
18,161102397681449639608320.000,1611024052143457042432.000,25.672,17.533,40.000,49.133
19,69040179387770020074556451979264.000,690401793877701202796481609728.000,25.563,16.900,41.767,48.067
20,76473304804921495244899000925552640.000,764733048049214923625952394084352.000,24.955,17.367,41.167,47.533
21,8742609486481705466071089152.000,87426096871286682320633856.000,24.065,16.900,41.133,47.567
22,38806186143419399959718773391360.000,388061861434197278780666413056.000,23.530,18.133,39.567,47.467
23,5782704937267730845696325058560.000,57827049372677341882116734976.000,23.432,16.933,40.900,47.400
24,38597619046142380655771648.000,385976199801031765262336.000,22.922,17.200,39.267,47.467
25,18435958707247099412480.000,184364225948021489664.000,22.464,18.000,39.100,47.700
26,418142930315279320879495905280.000,4181429303152804973569376256.000,22.438,17.333,39.833,47.567
27,85920405218366892490142777344.000,859204086586869541689622528.000,22.094,17.267,39.500,46.900
28,159760253822364745728.000,1597602737929837568.000,21.795,16.900,38.067,48.333
29,846427922660106829824.000,8464628746957200384.000,21.638,16.833,39.533,47.700
30,988734332285762373683959168838736048816128.000,9887343322857623398340362196291191570432.000,21.539,16.767,40.600,46.667
31,901894103523997482221568.000,9018950519356992258048.000,21.356,17.100,39.200,48.400
32,5445917846601723805696000.000,54459178469511604994048.000,21.276,16.800,40.367,46.933
33,2829234709057894852090931213983163613184.000,28292347090578943609648169955400613888.000,20.969,16.333,39.733,47.467
34,1712091471611390880382976.000,17120914717594227834880.000,20.894,16.667,39.233,46.867
35,57926877814089230853387123876436115456.000,579268778140892231795415892132626432.000,20.831,17.900,37.900,48.000
36,6701402172891594918326682571778293760.000,67014021729360440083792523702566912.000,20.543,17.533,38.100,47.033
37,1428921179632363908085351186432.000,14289211796323638729009790976.000,20.240,16.333,40.233,46.333
38,69430808093140575059968.000,694308604295666597888.000,20.025,16.067,39.600,47.400
39,2135514563691928136298511524306058954309369856.000,21355145636919282056231537242873543486603264.000,20.087,17.433,40.367,45.567
40,4799085378158995337627303936.000,47990853782954755856793600.000,19.937,17.133,39.633,46.233
41,9843949570601174465249280.000,98439496250650628456448.000,19.934,16.067,40.133,46.900
42,230521126307182670480670720.000,2305211263545660059680768.000,19.937,16.433,39.100,47.133
43,38919800961138666804552070249016459264.000,389198009611386611967418718413127680.000,19.892,16.633,39.833,45.900
44,424571483019677963753881600.000,4245770236098598676725760.000,19.985,15.700,40.233,45.833
45,22977373491914081195926749184.000,229773734921682405929517056.000,19.936,17.567,39.167,46.467
46,1125079783523451615368328511488.000,11250797835234847238624641024.000,19.794,17.533,38.900,45.900
47,2851693249347657358376960.000,28516932493556083326976.000,19.671,17.900,39.000,45.500
48,111229108743949860864.000,1112291135125278080.000,19.530,15.367,39.000,47.933
49,7052476322124643265406627217408.000,70524763221246425969035575296.000,19.468,17.633,39.767,45.200
50,6315416300844712198144.000,63154163040461660160.000,19.367,16.467,40.167,45.633
51,161754032885905195008.000,1617789636516151296.000,19.122,18.067,37.833,46.500
52,852417222212317102473216.000,8524173742185948119040.000,18.963,15.400,40.400,45.200
53,16716666934093167003172864.000,167182802887208352088064.000,18.870,17.733,39.100,45.500
54,204883079822180946795989508481351680.000,2086580092451985330188842606526464.000,18.924,16.367,39.267,45.800
55,2296596713867556990580948992.000,22965974603254833208098816.000,18.863,16.467,38.333,46.433
56,60456865823430241436041216.000,604568856935734876045312.000,18.760,16.400,40.633,44.767
57,652286055344900864491913216.000,6522864079852211655409664.000,18.617,15.433,39.133,47.367
58,168924396558107967488.000,1800193234769145344.000,18.630,15.100,39.467,46.333
59,58643984745873409182793728.000,586439847469891509551104.000,18.576,15.933,40.433,44.267
60,1436993297423071572933841256448.000,14369932974230919710735597568.000,18.481,15.467,39.700,45.067
61,27545299675005967138816.000,275456102389643313152.000,18.458,15.267,40.133,45.233
62,38470664899663373602968628625408.000,384706648996647829481770188800.000,18.439,16.467,37.467,46.167
63,66504842151690685095204203708547072.000,665048421516907029654875251146752.000,18.341,15.667,41.000,43.267
64,1467848470476837850414317568.000,14678484704989663465570304.000,18.314,16.400,38.967,46.200
65,217591913434948704.000,2175933040213605.250,18.283,15.200,39.433,45.600
66,2319077369727887343616.000,23218235699693727744.000,18.230,15.767,39.067,45.933
67,7815653060604599342202880.000,78156627599713500135424.000,18.179,15.100,37.967,47.067
68,3399104331319080456048605409054818304.000,33991043313190805667290698513121280.000,18.114,16.867,39.100,45.233
69,6501819207094106113179648.000,65018199200887205789696.000,18.094,15.767,40.267,45.400
70,29996321747621227003904.000,299969996072336359424.000,17.981,17.433,37.833,46.133
71,2566706687174176145408.000,26296776657322668032.000,17.929,15.633,38.333,46.033
72,11301500059580161662648320.000,113015000981577723281408.000,17.908,16.167,39.800,43.933
73,2434399752780516425728.000,24344087602273640448.000,17.883,16.067,39.033,45.067
74,27500928262915489792.000,376216440300191936.000,17.843,16.133,39.067,45.533
75,150932694257821472.000,1531957283252839.500,17.815,16.933,39.033,44.267
76,2828257568204194586433394149687296.000,28282575682252017349816548851712.000,17.766,14.333,40.767,45.233
77,358558436873304663212046420017152.000,3585584368733046654638462337024.000,17.723,15.833,40.000,43.867
78,111469201511210689829124702208.000,1114692015270651989009104896.000,17.727,15.967,39.567,43.867
79,8713788502267603434204037120.000,87137886859456150948020224.000,17.644,15.233,39.533,45.033
80,790431405081696432816128.000,7904314208431824175104.000,17.631,15.100,39.100,46.500
81,883656324547024650240.000,8836777706595354624.000,17.562,15.433,38.267,46.233
