max,mean,min,cross_improvec,cross_worsenc,unique
1,30604806368828724975287402496.000,61209614559533257151479808.000,26.311,253.900,192.200,94.800
2,316430814506682321639309312.000,632862986946201390153728.000,27.242,209.200,238.300,106.900
3,121645903338339285203943424.000,243293431421837770752000.000,26.128,182.300,264.200,121.400
4,157055733104548853173633155072.000,314113358472608946327650304.000,24.678,163.900,282.000,143.200
5,69865040854874008.000,140849965625797.312,24.541,154.200,296.000,165.500
6,104351158497058839860657258496.000,208702317426622324589723648.000,23.752,145.000,303.800,194.400
7,42469767558763790308376313856.000,84939535117550320441360384.000,24.802,146.100,302.600,216.500
8,72364098453628295816675328.000,144728241030635427201024.000,22.810,146.500,304.400,225.500
9,66822244832127474053723361116160.000,133644489664254938959509979136.000,24.476,150.000,300.300,237.600
10,446092885501487022080.000,892185848119377664.000,23.102,144.800,304.800,240.700
11,4393312026070368256.000,8787616725749739.000,21.860,146.500,304.200,232.600
12,109664329915416182112911360.000,219328901223448330633216.000,21.257,145.700,303.000,235.000
13,47765490382002170330282459136.000,95530980764004337087152128.000,20.799,143.800,300.600,220.400
14,879225383186724096.000,1758451945616598.750,20.746,151.500,295.500,200.100
15,238094549354292155475034112.000,476189100260332398444544.000,20.238,149.400,297.500,185.800
16,90608874529469249880064.000,181217757032099938304.000,19.974,152.000,296.900,167.300
17,51023908705281900544.000,102047818350511712.000,19.003,141.800,306.000,158.400
18,182193503844660864729743360.000,364387007689465175998464.000,18.455,149.800,296.000,148.500
19,20365574072163399209320448.000,40731148144330374381568.000,18.089,145.100,302.500,137.000
20,109679218237658200276992.000,219358439158001631232.000,18.246,145.300,299.800,125.400
21,38036889226584902676843851325374464.000,76073778453169801894923188830208.000,18.245,144.800,297.900,124.000
22,4339237233395506348032.000,8678474466791598080.000,18.478,138.200,303.600,123.100
23,381637793550006619209728.000,763279617043131006976.000,18.694,146.400,298.000,118.300
24,3892176176334389248.000,7787024334731560.000,18.820,141.900,304.600,114.100
25,22130489612607320.000,44261426251924.172,18.435,140.900,299.900,114.200
26,3356431596873449869771416797184.000,6712863193746903952871391232.000,17.131,138.600,301.600,107.800
27,50830990851888312428519976982978494464.000,101661981703776624709466001376280576.000,18.105,133.900,304.500,109.800
28,4954184754700801.000,9908409988205.277,17.139,135.100,306.600,105.000
29,12345472414411942528183959552.000,24690944829367112416886784.000,17.833,141.100,293.400,108.000
30,279466864566691099049984.000,559036900046423457792.000,17.410,140.900,295.800,105.800
31,807665701993865218621440.000,1615331403988029407232.000,16.596,138.600,300.600,104.900
32,38808963370362997833728.000,77617926740727775232.000,16.726,138.500,296.600,107.300
33,782502589430966528.000,1565005713089830.500,16.669,137.800,300.100,104.100
34,5437512376742699843190784.000,10875024753485401817088.000,17.189,138.700,296.800,103.600
35,301789105547593755131904.000,603578211095286644736.000,16.930,142.400,293.600,106.600
36,1027899135491735697017525271265280.000,2055798270983471461589044953088.000,16.704,140.700,291.400,110.200
37,149329014762760349084024832.000,298658029525585553784832.000,16.894,141.400,289.000,114.500
38,671991409373531895991631872.000,1343982821314345912238080.000,16.934,138.700,291.700,111.500
39,168635309183721292169216.000,337270635332161896448.000,16.937,137.200,291.300,111.800
40,597761193268446.375,1195524348114.967,16.854,139.200,288.900,111.600
41,53846217569939392.000,107692441911474.922,16.605,140.800,287.600,114.700
42,5639314187335546873223019757568.000,11278628374725230690733916160.000,16.722,138.200,287.300,117.900
43,12188929841660743680.000,24377873469650360.000,16.740,139.000,286.700,117.400
44,688691016810861056.000,1377382103117488.250,16.686,137.900,287.200,117.100
45,3451403665750961497546540267339776.000,6902807331501923616589829111808.000,16.896,133.600,291.400,117.200
46,3463004465813586444288.000,6926008931633367040.000,16.690,138.100,286.600,120.700
47,23930818781603272.000,47861671810741.828,16.824,133.800,290.900,121.500
48,5784839174476541952.000,11569678349907838.000,16.705,134.700,288.200,124.400
49,597752442159443214336.000,1195504888629194752.000,16.852,139.300,285.100,120.700
50,6884874949165231.000,13769749899942.740,16.744,133.500,289.200,121.300
51,953800200062909506650112.000,1907600411096589271040.000,16.660,138.800,279.500,128.700
52,14075912577727081079635968.000,28151825155454165581824.000,16.649,133.900,289.000,124.900
53,1438845642383866634174464.000,2877691284767752323072.000,16.655,135.600,284.500,135.100
54,178635110449541440.000,357270240995886.625,16.600,132.800,287.500,135.400
55,489145383330385858920448.000,978290766660786323456.000,16.531,136.500,287.000,133.500
56,129553388633049376.000,259106789100113.938,16.483,130.000,287.600,134.900
57,611748545145266.750,1223517957638.816,16.515,128.900,291.300,138.300
58,105388113223111244492308480.000,210829229982205842817024.000,16.488,127.700,289.200,138.000
59,846433825425044.750,1692869303700.141,16.438,140.000,279.300,139.400
60,12893366886517475874344796160.000,25786733773034952092286976.000,16.468,135.800,282.800,136.000
61,1549978520029.277,3099963281.326,16.295,130.700,289.100,130.400
62,581749177018593887387648.000,1163498354037190164480.000,16.259,135.400,280.600,132.900
63,11895072166142.855,24590103725.769,16.258,134.300,282.200,135.200
64,66625084959909080.000,133250468298525.172,15.820,126.800,288.400,132.800
65,30969881908948676608.000,61939763817899456.000,15.968,128.200,288.300,133.300
66,690981685870850560.000,1381963993756683.000,16.034,130.600,286.100,134.600
67,166509199950682312975319040.000,333018399901364577632256.000,16.130,131.500,283.800,131.600
68,1755715091453476077568.000,3511430188131972096.000,16.072,133.800,279.800,141.100
69,12102670012247836.000,24205340167959.656,16.071,125.100,291.800,141.100
70,648357190609.368,1296798452.034,15.968,124.600,286.800,139.300
71,17217547508392710144.000,34435099334734040.000,16.019,123.600,294.200,135.700
72,36310943926389561098240.000,72621887852800425984.000,15.907,127.200,287.400,134.000
73,41098774056709.234,82199765213.989,16.084,129.900,284.700,138.900
74,15118246246576891904.000,30236495289953812.000,16.113,129.500,287.800,140.800
75,502055989620820541440.000,1006568894700638592.000,15.882,128.700,285.900,143.300
76,4923879.587,10975.654,15.905,121.900,293.200,140.300
77,156035083795589902924513280.000,312070167592810481451008.000,16.501,126.800,289.900,137.600
78,1804502209478435274752.000,3609004422037279744.000,16.399,127.100,286.800,137.200
79,2445145072340130816.000,4890904577641873.000,16.462,125.400,289.100,139.000
80,2409567144737279.000,5305122594704.461,16.388,118.000,291.100,134.500
81,238671470724233.594,477370644676.137,16.636,118.200,293.000,132.100
82,768730074009415936.000,1537463587466538.000,16.245,129.200,283.800,129.500
83,8103240131693492224.000,16206492382224672.000,15.980,130.200,279.100,134.500
84,50085129644761112576.000,100170259289539568.000,15.114,135.000,272.100,138.500
85,5304936060481121280.000,10609872209175682.000,15.706,131.400,280.200,143.700
86,176128354492812974877348640849920.000,352256708985625910348200542208.000,15.985,124.800,287.100,140.300
87,1722383893206595056798007296.000,3444767786413190105006080.000,15.308,131.200,276.000,141.400
88,4697662044524123136.000,9395324092242886.000,15.966,130.600,277.100,143.800
89,266719767665926.844,533440179070.995,15.002,128.600,275.200,143.400
90,7414413925548733440.000,14828827853757718.000,14.994,125.800,280.900,138.600
91,524296762556837724160.000,1048593525114402176.000,14.988,128.500,280.200,131.000
92,34567969487997784.000,69135941266776.438,14.770,125.700,282.200,126.800
93,783378986725429504.000,1566757973453434.500,14.920,126.200,277.400,126.900
94,1311248469525.850,2622498086.299,14.903,120.200,288.400,124.200
95,28523910389680552.000,57047820994772.273,14.949,120.900,281.000,120.200
96,18962260100615892.000,37924521289254.031,14.831,118.100,282.100,125.200
97,356006789104146.688,712147032356.657,14.782,122.500,282.100,113.100
98,45940895417265340416.000,91881790834545040.000,14.788,124.100,277.500,117.800
99,2483892705787.310,5037671146.953,14.586,123.500,279.600,116.300
100,2756270724681716.500,5512541475231.658,14.710,120.100,283.400,110.600
