max,mean,min,cross_improvec,cross_worsenc,unique
1,71756755415031345118919373357056.000,717567554151112626202069696512.000,31.509,49.967,38.900,14.167
2,643800788976634368622592.000,6438007889766544048128.000,30.736,41.667,47.300,16.067
3,123956126297315913815578762018816.000,1239561262973204776508511485952.000,29.272,37.000,51.100,20.033
4,1121175191475360404391067648.000,11211751914753606706790400.000,29.599,33.133,55.167,22.067
5,69772406358146.859,697741755529.601,30.069,31.767,57.767,25.433
6,3792141057892606976.000,37931715975459192.000,29.875,30.600,59.733,27.633
7,9957742682969867875778560.000,99577426829699222339584.000,29.930,29.800,59.633,33.600
8,494764233342724635361280.000,4947642333436870393856.000,29.558,27.533,61.667,35.433
9,711444600039234469888.000,7114458177787546624.000,29.509,27.433,61.533,37.667
10,72160179253428011008.000,721601792534351616.000,29.355,28.067,61.033,38.600
11,45705815455291316218217003233574912.000,457058154552913240004371593297920.000,28.807,28.600,60.500,38.900
12,18373372286306.215,184967916115.358,28.938,26.967,61.967,39.433
13,22105574607180218368.000,221055746072056224.000,28.964,27.333,60.967,39.267
14,447404193875846561792.000,4474268278563217408.000,28.380,28.600,59.933,39.667
15,4370662284166646510431240192.000,43706622841666458575962112.000,28.236,27.967,60.767,39.100
16,67758915445198897152.000,677589154651709824.000,27.337,25.300,63.100,38.600
17,13794381191368859034866340069376.000,137943811913688584015476424704.000,27.257,26.933,63.333,36.400
18,77643187585808586506240.000,776431875858085969920.000,26.670,26.567,62.367,37.267
19,6909609732742710272.000,69096097327428752.000,25.413,25.833,61.000,37.800
20,2299177621294417.000,22992139643946.691,25.223,26.367,62.900,36.067
21,12390509220519249117993500672.000,123905092205194259332071424.000,25.028,25.600,62.800,35.867
22,1516002983694.869,15160032195.026,25.556,24.867,62.500,36.633
23,2696088968820586708992.000,26961195043572547584.000,24.559,26.700,62.800,34.933
24,39313042096051459727657271296.000,393130420960514572537561088.000,24.469,27.733,61.267,35.133
25,132854617776856753240014848.000,1328546177768567510925312.000,23.884,26.800,60.967,35.000
26,333063362691896.250,3330633783046.148,23.905,26.100,61.800,33.900
27,56875607774852456448.000,568756078734163776.000,23.113,25.767,61.733,33.333
28,656845151517563.375,6571989283213.264,22.964,26.633,60.600,33.167
29,370492468937395208192.000,3704924689450519040.000,22.354,25.533,61.867,31.967
30,4390860856002746880.000,43908644288668552.000,22.531,25.667,61.433,32.333
31,37836534583308.586,378365347125.199,22.308,25.233,61.000,31.400
32,5704688667760186368.000,57046889072604640.000,21.947,26.067,60.633,30.800
33,2243408430729631448956928.000,22434084307366181863424.000,21.935,28.267,58.633,31.400
34,578671889613407066783744.000,5786718910620686614528.000,21.608,25.200,60.367,30.933
35,978177541216380538322944.000,9781775412163808067584.000,21.275,25.700,61.533,30.267
36,9855820304644720033792.000,98558203046452985856.000,21.046,26.533,58.967,30.767
37,734083208481276544.000,7498976681259341.000,20.868,24.800,60.033,30.233
38,515443630950382034809669025792.000,5154436309503820436057620480.000,20.538,26.067,59.367,30.200
39,78317091985325.188,783170923801.167,20.680,27.033,59.000,29.267
40,1764050737024848.250,17640507378690.020,20.080,25.667,61.233,27.267
41,1058398386399509770928128.000,10583983863995100561408.000,19.926,25.600,59.833,28.033
42,8390710821569898496.000,87403940012753488.000,19.923,27.067,58.133,29.767
43,51063300190822654789036277760.000,510633001908226506658676736.000,20.247,24.800,61.767,28.967
44,82356890620047.750,827374369934.688,20.421,25.400,60.233,29.800
45,234506662643515.281,2345067351818.116,20.169,25.933,59.467,28.967
46,3319534485876512.500,33195344859530.023,20.338,25.100,60.667,29.900
47,14467773109799114244096.000,144677731097991151616.000,20.206,26.633,58.333,30.567
48,108013617847714028625371817050112.000,1080136178477140280624218636288.000,19.976,25.500,59.500,30.800
49,1390407634677.857,13959170512.647,19.910,26.133,59.567,29.067
50,39278599014.713,396379627.330,19.864,24.867,59.033,29.967
51,222040123930093.438,2220401433345.413,19.837,25.800,59.267,29.600
52,133660029453711.969,1336600295387.016,19.682,26.033,58.033,30.000
53,3986317390649299658866688.000,39863173906493001957376.000,19.591,25.400,59.533,29.800
54,92713632347.124,927147793.695,19.541,23.800,59.433,29.900
55,24190041771837.492,241900428174.159,19.559,25.533,58.633,30.733
56,6816390927900928.000,68163909300995.992,19.638,25.167,59.367,31.400
57,118059730608.986,1180613286.700,19.332,24.967,60.100,30.933
58,918114518306312.375,9181145439600.855,19.265,24.133,60.267,32.500
59,210575464.188,2107540.181,19.177,24.833,59.400,31.967
60,30043512821120281608192.000,300435128404605534208.000,18.885,24.900,59.600,31.500
61,9618335761.892,96183511.900,18.683,24.200,60.167,30.433
62,157961102105.547,1579613404.119,18.635,23.700,60.533,32.033
63,4164304892912304128.000,41643048930288584.000,18.756,23.633,59.233,31.533
64,308626526815424832.000,3086265268157002.500,18.564,23.833,58.933,31.733
65,125124569602.942,1251245773.887,18.682,23.600,58.767,32.367
66,23135929445.078,231359424.156,18.540,23.467,60.100,31.167
67,28884612350819.801,288846155605.726,18.461,23.133,59.200,31.433
68,110056805258905296184541184.000,1100568052600490959044608.000,18.424,23.667,58.733,31.100
69,993625066329153.500,9936250663586.184,18.483,24.400,59.467,31.300
70,2717563178.632,27177647.202,18.473,22.267,60.900,31.967
71,6796306678018806.000,67963066781228.805,18.430,23.600,59.233,31.333
72,196624194739238867075858432.000,1966241947392388745920512.000,18.418,24.867,58.467,31.033
73,41317036344.903,413692753.192,18.460,24.800,59.467,30.500
74,8496760522433861724510617600.000,84967605224338634424975360.000,18.501,23.367,59.933,29.700
75,689834894.379,6900592.665,18.536,24.333,59.167,30.433
76,782134270541563392.000,7822575059858286.000,18.452,24.500,58.633,29.367
77,9067218277592596.000,90673832030308.906,18.406,24.633,57.800,31.167
78,107618094403.644,1076181476.233,18.376,23.367,58.833,32.100
79,142690017234557970939904.000,1426900172345579929600.000,18.349,23.367,58.533,30.100
80,19278919024437553170015399706624.000,192789190244375590809899106304.000,18.301,23.200,58.900,31.767
81,10447908.757,105572.708,18.369,22.633,59.200,32.133
82,1491501606165163.750,14915016062260.414,18.423,22.900,59.967,31.533
