max,mean,min,cross_improvec,cross_worsenc,unique
1,39944157936.564,82233070.741,13.604,146.300,146.600,259.100
2,4678134342582.465,9356626695.120,13.197,121.133,174.267,274.700
3,4329797367046.509,8659810823.158,12.535,108.533,187.967,283.767
4,346764030637.708,698215274.045,11.354,101.500,193.667,283.467
5,1306563911.018,2738744.452,10.933,100.367,196.200,284.933
6,5274999971.355,10711696.950,10.905,97.933,204.100,280.800
7,3190281575.540,8747147.974,10.872,100.333,193.567,284.000
8,2755581620.487,5661396.950,10.461,99.033,195.933,281.233
9,57900493817246.180,115801023132.570,10.196,101.667,195.567,275.100
10,1812713623.546,3646607.056,9.801,101.567,193.867,270.500
11,2030413915.878,4083201.006,9.581,99.600,190.667,271.167
12,110593166792.416,233747567.650,8.787,99.833,191.967,266.333
13,15639113211.263,31290782.036,8.357,99.067,194.733,259.700
14,240570893263908704.000,481141786573347.062,8.169,98.733,192.600,257.167
15,1700922776.469,3410067.430,7.809,95.100,194.067,254.467
16,217956844539.063,435968125.797,7.787,97.167,192.433,256.433
17,42296501340582.961,84593232552.223,7.414,94.667,190.533,255.367
18,1302016599.393,2666003.454,7.264,93.967,191.333,257.633
19,12575362176.354,25181437.889,6.843,91.267,192.933,256.200
20,179499118.399,376592.778,6.403,95.467,191.333,256.600
21,6962344145.078,13991894.844,6.361,94.033,190.467,257.500
22,742499251976480.125,1484998683838.417,6.305,90.067,189.800,260.267
23,6967686706.297,13975562.870,5.911,90.600,189.267,260.867
24,47905069.058,104172.744,5.723,91.533,193.267,259.100
25,10751294681.042,21718849.150,5.562,91.567,192.133,262.067
26,24759034610808004608.000,49518069221623864.000,5.524,91.900,190.733,265.300
27,74623768.195,160949.065,5.451,91.167,191.767,265.667
28,552136398963.663,1104284880.521,5.284,91.467,191.533,269.900
29,21301552585.313,42688348.097,5.087,90.300,194.767,270.800
30,419705413178.973,841621170.382,4.970,88.133,191.800,273.033
31,1388732155.214,2785731.589,4.779,90.700,194.700,271.667
32,3018955496176075776.000,6037911449798239.000,4.721,87.333,192.767,275.567
33,94757784899181.078,189515950745.979,4.626,86.567,192.800,277.633
34,695503264457.144,1396694775.614,4.352,86.500,197.433,274.167
35,1960246776.225,4059482.290,4.267,87.933,193.233,275.567
36,5541089212880.671,11082187332.265,4.155,86.467,191.967,279.867
37,4967165707.088,10010987.194,3.994,87.467,191.600,279.900
