max,mean,min,cross_improvec,cross_worsenc,unique
1,88702043732857.469,1774040950692.184,18.500,21.833,22.433,9.333
2,3458901306.089,69179842.690,17.762,17.367,26.300,13.500
3,11266002.043,225345.909,17.690,16.833,27.433,14.267
4,42053848.584,841110.256,16.835,16.333,28.400,14.233
5,15199332592009.699,303986665491.315,16.378,15.667,28.767,16.367
6,119516368.869,2408584.585,16.145,15.333,28.567,17.100
7,507765.557,10177.539,15.739,15.167,28.733,17.033
8,95743818.147,1914898.288,15.194,15.033,29.000,17.867
9,11756228.290,235144.502,14.291,16.267,28.300,17.867
10,20007028993507.312,400140580899.540,14.041,15.067,28.767,17.700
11,142557773.016,2988433.930,13.517,14.700,29.233,18.433
12,22104332.305,443301.409,13.506,15.700,28.167,20.300
13,3389498.945,200021.294,13.169,15.800,28.767,18.233
14,3292147.549,65868.770,12.539,14.167,29.400,18.067
15,30083625.501,777249.426,12.343,14.033,29.833,18.000
16,256371920595.665,5127438431.350,12.309,13.667,29.367,18.367
17,29243180.363,584882.345,12.075,15.233,28.167,18.767
18,10894486.426,217908.242,11.779,13.467,30.233,17.300
19,33975130.251,679520.151,11.586,13.633,29.767,19.100
20,37012906.868,740283.437,11.508,12.967,30.733,17.467
21,5639520.545,112807.740,11.276,13.333,29.800,17.633
22,17039540.505,340809.090,11.362,12.667,29.933,17.300
23,2165420642.876,43308431.728,11.158,13.067,30.267,17.267
24,11347472.282,226967.209,11.207,13.233,29.300,18.200
25,4009327.040,80338.543,11.246,12.633,30.233,17.933
26,3191444.186,63904.819,11.265,13.000,29.800,18.267
27,171389105863632.094,3427782117289.676,11.114,12.333,30.400,18.733
28,18059939.627,361217.746,10.967,12.433,30.233,18.767
29,26139105.634,522814.760,10.925,12.200,30.833,18.633
30,3816562.975,90079.290,10.989,12.300,29.800,18.933
31,122316739354913.594,2446334787117.948,10.752,12.467,30.833,18.333
32,50900316.975,1018028.931,10.750,12.867,30.167,18.100
33,31629413.743,632605.533,10.616,13.233,29.733,18.767
34,4058344999.587,81166924.741,10.461,12.667,29.333,19.100
35,8477024.832,170406.078,10.483,12.967,30.200,18.867
36,183656207.073,3673149.971,10.423,11.933,31.000,19.033
37,273193983181578.906,5463879663648.940,10.343,12.100,30.333,19.933
38,567706306.665,11354176.267,10.182,11.000,32.667,18.967
39,889055969.433,17781185.497,10.052,11.967,30.167,19.533
40,4379962.990,87617.993,9.976,11.867,31.133,19.133
41,4235933.952,84757.193,9.971,12.033,30.900,18.333
42,137709629.973,2754853.535,9.993,11.900,30.800,18.733
43,9910448.113,245257.609,10.106,10.733,31.367,18.767
